start,end,label
1444,1448,41 - Iacopo Ammannati Piccolomini a Vespasiano
1446,,1 - Donato Acciaiuoli a Vespasiano
1448,,2 - Vespasiano a Filippo Podocataro
1448,,3 - Vespasiano a Filippo Podocataro
1448,,4 - Vespasiano a Iohannes Caldarifex de Monthabur
1448,,44 - Agnolo Manetti a Vespasiano
1448,,45 - Agnolo Manetti a Vespasiano
1448,,5 - Vespasiano a William Gray
1449,,6 - Giannozzo Manetti a Vespasiano
1450,,7 - Giannozzo Manetti a Vespasiano
1451,,8 - Giannozzo Manetti a Vespasiano
1453,,9 - Niccolò Perotti a Vespasiano
1454,,10 - Niccolò Perotti a Vespasiano
1454,,11 - Giannozzo Manetti a Vespasiano
1456,,12 - Giannozzo Manetti a Vespasiano
1456,,13 - Giannozzo Manetti a Vespasiano
1456,,14 - Giannozzo Manetti a Vespasiano
1457,,15 - Giannozzo Manetti a Vespasiano
1457,,16 - Giannozzo Manetti a Vespasiano
1458,,17 - Vespasiano a Piero de' Medici
1458,,18 - Vespasiano a Piero de' Medici
1458,,19 - Vespasiano a Piero de' Medici
1460,,20 - Vespasiano a Jean Jouffroy
1462,,21 - Donato Acciaiuoli a Vespasiano 
1463,,22 - Piero Acciaiuoli a Vespasiano
1463,,23 - Jacopo Acciaiuoli a Vespasiano
1463,,24 - Jacopo Acciaiuoli a Vespasiano
1463,,25 - Vespasiano ad Alfonso Fernandez de Palencia
1463,1464,26 - Vespasiano a Cosimo de' Medici
1467,,27 - Ferdinando d'Aragona a Vespasiano
1467,,28 - Ferdinando d'Aragona a Vespasiano
1468,,29 - Ferdinando d'Aragona a Vespasiano
1468,,30 - Vespasiano ad Alfonso d'Aragona
1472,,31 - Vespasiano a Lorenzo de' Medici
1476,,32 - Vespasiano a Lorenzo de' Medici
1479,,33 - Vespasiano a Leonardo di Giovanni Tolosani da Colle
1479,,34 - Vespasiano a Leonardo di Giovanni Tolosani da Colle
1480,,35 - Giovanfrancesco Mazinghi a Vespasiano
1480,,36 - Vespasiano a Caterina Portinari
1480,1485,42 - Vespasiano a Pierfilippo Pandolfini
1481,,37 - Vespasiano ad Alfonso d'Aragona
1489,,38 - Vespasiano a Pierfilippo Pandolfini
1493,,39 - Vespasiano ad Alfonso Strozzi
1497,,40 - Vespasiano a Giovanni Pandolfini
1444,1478,43 - Vespasiano a Filippo Pandolfini
